id,app,name,applied
43,wagtailcore,0026_group_collection_permission,2021-12-17 08:17:06.625867
44,taggit,0001_initial,2021-12-17 08:17:06.652652
45,wagtailimages,0001_initial,2021-12-17 08:17:06.755155
46,wagtailimages,0002_initial_data,2021-12-17 08:17:06.755155
47,wagtailimages,0003_fix_focal_point_fields,2021-12-17 08:17:06.760662
48,wagtailimages,0004_make_focal_point_key_not_nullable,2021-12-17 08:17:06.760662
49,wagtailimages,0005_make_filter_spec_unique,2021-12-17 08:17:06.763586
50,wagtailimages,0006_add_verbose_names,2021-12-17 08:17:06.763586
51,wagtailimages,0007_image_file_size,2021-12-17 08:17:06.770592
52,wagtailimages,0008_image_created_at_index,2021-12-17 08:17:06.771612
53,wagtailimages,0009_capitalizeverbose,2021-12-17 08:17:06.771612
54,wagtailimages,0010_change_on_delete_behaviour,2021-12-17 08:17:06.771612
55,wagtailimages,0011_image_collection,2021-12-17 08:17:06.780173
56,wagtailimages,0012_copy_image_permissions_to_collections,2021-12-17 08:17:06.780173
57,wagtailimages,0013_make_rendition_upload_callable,2021-12-17 08:17:06.780173
58,wagtailimages,0014_add_filter_spec_field,2021-12-17 08:17:06.788175
59,wagtailimages,0015_fill_filter_spec_field,2021-12-17 08:17:06.788175
60,wagtailimages,0016_deprecate_rendition_filter_relation,2021-12-17 08:17:06.788175
61,wagtailimages,0017_reduce_focal_point_key_max_length,2021-12-17 08:17:06.788175
62,wagtailimages,0018_remove_rendition_filter,2021-12-17 08:17:06.796176
63,wagtailimages,0019_delete_filter,2021-12-17 08:17:06.796176
64,wagtailimages,0020_add-verbose-name,2021-12-17 08:17:06.796176
65,wagtailimages,0021_image_file_hash,2021-12-17 08:17:06.804177
